ref,household_name,city,province,postal_code,segmentation,record_type,next_kyc_review,date_last_contacted,contact1_first,contact1_last,contact1_birthdate,contact1_email,contact1_phone,contact2_first,contact2_last,contact2_birthdate,contact2_email,contact2_phone,target_aum,target_cash,target_market_value,account_count
FP001,Charbonneau Household,Kelowna,BC,V1Y 7H5,1,1,2027-05-16,2026-07-23,Bastien,Charbonneau,1979-01-04,bastien.charbonneau@mail.test,250-555-9368,,,,,,3180000,7931,3172069,3
FP002,Gilles and Renee Desrosiers Family,Vernon,BC,V1T 8H6,1,1,2026-11-26,2026-07-02,Gilles,Desrosiers,1968-09-16,gilles.desrosiers@mail.test,250-555-1185,Renee,Desrosiers,1967-04-05,renee.desrosiers@mail.test,250-555-7365,2640000,14030,2625970,3
FP003,Pierre-Luc and Sylvie Boissonneault Family,Penticton,BC,V2A 4W8,1,1,2027-02-16,2026-08-22,Pierre-Luc,Boissonneault,1955-08-16,pierreluc.boissonneault@mail.test,250-555-3152,Sylvie,Boissonneault,1954-05-18,sylvie.boissonneault@mail.test,250-555-9126,2210000,13070,2196930,3
FP004,Desmond and Colette Lindqvist Family,West Kelowna,BC,V4T 3G2,1,1,2027-04-14,2026-07-08,Desmond,Lindqvist,1944-06-27,desmond.lindqvist@mail.test,250-555-1774,Colette,Lindqvist,1942-06-16,colette.lindqvist@mail.test,250-555-2937,1880000,20454,1859546,3
FP005,Milena and Dmitri Ferreira Family,Kamloops,BC,V2C 7R3,1,1,2027-07-14,2026-08-08,Milena,Ferreira,1945-10-24,milena.ferreira@mail.test,250-555-6659,Dmitri,Ferreira,1945-10-02,dmitri.ferreira@mail.test,250-555-1529,1510000,8448,1501552,3
FP006,Takeshi and Hiroko Ishikawa Family,Vancouver,BC,V6B 6V2,1,1,2027-07-20,2026-07-28,Takeshi,Ishikawa,1964-04-02,takeshi.ishikawa@mail.test,250-555-1240,Hiroko,Ishikawa,1960-08-20,hiroko.ishikawa@mail.test,250-555-7159,1455000,13599,1441401,3
FP007,Dallaire Household,Victoria,BC,V8W 4K1,1,1,2027-06-03,2026-07-04,Malcolm,Dallaire,1983-10-16,malcolm.dallaire@mail.test,250-555-4094,,,,,,1390000,9606,1380394,3
FP008,Jun and Mei Yamashita Family,Nanaimo,BC,V9R 6A3,1,1,2027-05-18,2026-08-25,Jun,Yamashita,1949-04-17,jun.yamashita@mail.test,250-555-7648,Mei,Yamashita,1951-09-17,mei.yamashita@mail.test,250-555-7403,1320000,16588,1303412,3
FP009,Mei and Kenji Nakamura Family,Salmon Arm,BC,V1E 5K5,1,1,2027-10-02,2026-07-28,Mei,Nakamura,1987-11-24,mei.nakamura@mail.test,250-555-6098,Kenji,Nakamura,1990-06-10,kenji.nakamura@mail.test,250-555-2859,1240000,3370,1236630,3
FP010,Rasmussen Household,Summerland,BC,V0H 3W7,2,1,2027-09-03,2026-07-29,Fergus,Rasmussen,1947-02-07,fergus.rasmussen@mail.test,250-555-7462,,,,,,1180000,7524,1172476,3
FP011,Cormier Household,Peachland,BC,V0H 8V9,2,1,2026-10-18,2026-06-24,Hugo,Cormier,1974-03-21,hugo.cormier@mail.test,250-555-5908,,,,,,1095000,3881,1091119,3
FP012,Rajinder and Anjali Bhattacharya Family,Osoyoos,BC,V0H 4H9,2,1,2026-12-20,2026-08-06,Rajinder,Bhattacharya,1949-10-05,rajinder.bhattacharya@mail.test,250-555-2448,Anjali,Bhattacharya,1946-03-12,anjali.bhattacharya@mail.test,250-555-7534,1040000,4419,1035581,3
FP013,Lachapelle Household,Kelowna,BC,V1Y 8C5,2,1,2027-05-19,2026-08-18,Hugo,Lachapelle,1981-05-21,hugo.lachapelle@mail.test,250-555-3907,,,,,,985000,16628,968372,2
FP014,Marcel and Beatrice Bouchard Family,Vernon,BC,V1T 2Y9,2,1,2026-11-13,2026-07-16,Marcel,Bouchard,1947-09-26,marcel.bouchard@mail.test,250-555-8780,Beatrice,Bouchard,1944-10-11,beatrice.bouchard@mail.test,250-555-6657,940000,8738,931262,2
